id,title,body,tagname_list,author.id,added_at
4174,What does a biomedical engineer's day look like on a daily basis?,<p>I am a junior in high school interested in biomedical engineering. </p>,engineer biomedical-engineering,2933,2014-04-07 08:57:32.535560
11301,"What diplomas or certificates do i need to become a police officer in hayward, California","<p>I want to become a police officer and i live in hayward, california </p>",detective cops police,7329,2015-09-01 14:27:47.336153
486,What would you do if you barely had any money to pay for your college tuition?,"<p>The college that I would like to go to has a tuition of about $27,000 per semester, The college really matters because it would help me with the career that I want to have when i get older. I have been looking for scholarships but they wont pay completely for my college unless i have perfect grades, ( my average is about 85).</p>",college scholarships,377,2012-02-13 14:52:31.076810
10662,What would i have to major in college to become a lawyer?,"<p>I've wanted to be a lawyer for years now. But i don't know how to go about starting my law career when i start college, I would like to start thinking about it right now while i'm still in high school.</p>",career law law-degree lawyer,6759,2015-06-18 13:33:58.851402
3439,What schools major in journalism?,<p>What colleges have a strong major in journalism </p>,journalism college-major,2507,2014-03-17 17:39:10.914883
9129,What does it take to become a public relations manager?,<p>I want to become a public relations manager but i'm not sure what that requires.</p>,manager public-relations,5749,2015-04-08 13:37:03.640072
876,What colleges have good psycholgoy programs that will allow for a student who wishes to be a child psychologist the opprotunity to have hands on experience with children?,<p>I am an 11th grader who wants to be a child psychologist but i am not sure what school will be best for me to study at</p>,psychology colleges programs,608,2012-05-23 16:15:08.579890
12390,Do I need a degree in college to become a Game Developer?,"<p>Im in 6th grade and never had a mom. Growing up with my dad I became a tomboy who loves video games. I once saw the creation of 'Assassin Creed: Black Flag' and wondered how they made games. I'm also very artistic and knew that was a lean toward the game development, do I need a degree in college to become a Game developer? Thank you for reading this!</p>",degrees artistic game-development,7937,2015-10-23 14:16:06.416058
1559,Amount of years it talks to become a psyciatrist,<p>How long does it take (in education years ) to become a psyciatrist?</p>,psychiatry,901,2013-03-27 11:34:28.858081
3689,What does a recording or audio engineer do or what does such a career consist of?,<p>I'm asking because I plan to major in audio/ recording engineering in college this fall. </p>,recording engineering audio studio,2724,2014-03-26 13:59:31.734484
4552,"What career field has the best financial benefits offered, besides doctor and lawyer?",<p>I am a junior in high school and am interested in finding out more about what fields I can make some big time money in.</p>,money finance careers career-paths,2929,2014-04-09 08:22:34.198545
3627,Which job is better a nurse practitioner or a license registered nurse?,"<p>I'm in love with math and science. I like helping people, but its hard to choose between the two. </p>",nursing,2712,2014-03-25 11:54:27.873949
11087,"If I had a B.Pharm degree, what would I do next if I wanted to do biochemical engineering/chemical engineering?","<p>Okay, so basically I'm in my second year of the B.Pharm degree. I want to finish the degree.
What would be my next step?
In the end I want to do research in a direction that would incorporate biochemical engineering into my knowledge of medicines.
To put it into perspective; I wouldn't mind studying another four to six years after having done the B.Pharm degree if I could then have a career as a research scientist in drug design, or something along those lines.</p>",drug-development chemical-engineering organic-chemistry biochemistry drug-discovery bioengineering,7178,2015-07-23 15:17:52.028862
6141,Of what importance is the university of a student if he wants to get a good job ??,"<p>I also want to know that if I can change my career after completing my engineering , I mean like if I get degree in EC can I get a job related to CS or IT ??</p>",career 1st-jobs engineering development salary,3583,2014-07-10 06:11:51.608786
12135,What is the difference betweeen buisness management and Entrepreneurship?,"<p>Hello My name is Hunter and I would like to know the difference between business management and Entrepreneurship.  My dad owns a company and I have gone down to the company with him and worked a little and seen that that would something of interest as a career in the future.  There lies my problem though, I really don't know the difference between business management and Entrepreneurship.  Any help will greatly appreciated and suggestions to other fields of business that sound closer to what I'm going for is also greatly appreciated.  </p>",buisness management buisness-owner entrepreneurship,7480,2015-10-21 14:41:35.818921
10159,Does Majoring in Biology give you props when applying for a job in a vet's office?,<p>I want to go to vet school after Community College and I love bio</p>,biology veterinary vet,4132,2015-05-19 12:57:38.368171
4762,"When applying to a college with an art major, what would make an appealing portfolio?","<p>I want to go to a college with a major along the art subject, but I don't actually know what kind of art would colleges be looking for (whether the work should be realistic or not). I would like some tips to help me build up my portfolio, although there could be some colleges that don't require one.</p>",portfolios college art application,2980,2014-04-14 11:05:38.082399
1075,Is it hard to get a job after college when your a neurosurgeon  ?,<p>Im a sophomore in High school and i really want to be a neurosurgeon. </p>,doctor neurosurgeon,217,2012-09-08 23:37:37.531436
12614,What are the basics of becoming a lawyer?,"<p>Hi, I am in 6th grade and I want to know what the basics of becoming a lawyer are so I can find out how to become a lawyer someday. What steps do I need to take?</p>",law lawyer,7836,2015-10-26 20:23:13
9095,What is the most popular career in sports management field?,<p>Want to go into sports management</p>,management sports,5651,2015-04-07 16:24:10.335040
3192,What motivated you to pursue a career in law?,"<p>I'm interested in becoming a lawyer for several reasons, I would want to hear why others chose this as a career and became successful. </p>",career law legal lawyer,2404,2014-03-12 16:01:21.927564
2232,What classes should a person generally take to get ready for a career in the electrical engineering field/plumbing?,<p>I just need some advice on where to look in the that is in the direction. </p>,plumbing payedinadvance electricalenginering general-electric,1787,2013-12-04 18:17:34.382633
3925,Nursing Track Vs. Pre-med and physician assistant ? What's the different role?,"<p>Hi, I am a senior in high school. I am interested in being a doctor particularly a family doctor because I want to work with all ages and both sexes. I was taking family medicine or emergency medicine. However, I always thought of doctors don't have direct- contact with patients like a nurse does.  I know that being a doctor takes a long time. I really want the title as a doctor. Like is it worth it ? Because I know I'll probably be in debt after I finish med- school and residency.Then I started being in interested in to become a nurse practitioner or a physician assistant.  I like nursing because it is more direct patient contact and then I was interested in being a physician assistant because it is sort of similar to a doctor but they work under supervision of a doctor. Do physician assistants  work independently ? Do nursing have similar classes  like pre-med or P.A track?  I want to know because I'm just confuse and need to know which career would fit me best. I just know that I want to help and cure people.</p>",physician doctor assistant nurse-practitioner health-care medicne pre-med medical,2765,2014-03-28 21:49:23.406676
4272,What does a typical day of an oncology nurse look like?,<p>I am a junior in high school and I am interested in becoming an oncology nurse.</p>,day-in-the-life career nurse oncology,3021,2014-04-08 08:25:57.190463
12242,How do i pick a college if I want to be in the military?,<p>Because I want to serve for my country like my grandpa did</p>,navy military engineer airforce army,7844,2015-10-22 13:06:12
8416,I like to speak with others but i hate sales.Are there any other jobs option available for me?,<p>I m a sci stream stu and is graduating soon.I used to dream becoming a lawyer coz l luv to talk but i dont know if i will like it or not and it seems to me that they r many graduatees lawyer can't find a job😧😧</p>,medical-field business lawyer,5242,2015-03-07 11:47:01.030901
15342,"Out of principle, which company should I feel better about generating revenue for: Coke or Pepsi?",<p>I love both Coke and Pepsi products but wonder which is a better company? Which should I feel better about buying? I may even want to work for one of these companies one day!</p>,business pepsi coca-cola,9775,2016-01-20 09:59:46.284059
8670,What are the steps to become a biological technician?,<p>I am a senior in high school. I plan to major in biology in college and wanted to know what are the steps to become a biological technician.</p>,career biotech biological-technician college,5292,2015-03-21 12:02:57.107323
9379,What is it like to be an anesthesiologist?,"<p>I'm interested in anesthesiology, and am curious as to what it is like to be one. What classes do you need to take in college? How much schooling do you need? What majors are helpful? If there is any other relevant information that you would find helpful, please let me know.</p>",medicine medical-field anesthesiologist college doctor,4676,2015-04-21 20:27:57.759900
7917,What career can i take to be risk managment administrator?,<p>I want to be like an FBI agent but with less risk and in a company and I want to know what career I should take</p>,police business administrative-law agent lawyer social-psychologist,4940,2015-01-26 18:11:18.058797
336,How does the government affect space system engineers?,<p>I have someone I know who told me that their job has had some cut backs because of the cut on defense budget. I don't understand how this can affect his career field. He works in the development of the GPS software.</p>,law science government,163,2012-01-21 12:58:15.510351
9692,What steps can i take to become an FBI? I am currently a junior at a charter high school and i want to know anything helpful that would contribute to me.,<p>I want to major criminal justice but i don't know if that's enough.</p>,criminalogy,6170,2015-05-06 14:03:21.324080
7600,How long does it take to get a PHD or Doctorate in the sciences?,<p>I love to learn and wish to receive the highest level of research education as possible. I also love to travel around the world so I was curious about how long each degree would require</p>,science astronaut astrophysics science-phd astronomy doctorate,4171,2014-12-16 12:48:31.312361
8816,What companies are interested in people with an economics degree and a dream to become an investment banker?,"<p>I am a high school senior who is going to be graduating this summer. I wanted to go into an economics major, but I did not know what my future would look like with that degree. I am very interested in studying a math related topic being that it is my favorite subject. A career where I would have to use math is something I would enjoy greatly. </p>",careerpath investment-banker economics companies,5623,2015-03-24 16:02:29.214863
1002,Whats is the basic job of a forensic scientist?,<p>I want to know this because i see lots of shows involving forensics and if it fits would want to make this a career</p>,forensic law-enforcement,257,2012-09-07 14:58:19.991109
684,What classes must I take in order to major in psychology?,<p>I am intersested in majoring in phsychology when I go to collge. So i am wondering what classes I should take in order to major in phsycology?</p>,psychology,514,2012-03-29 10:42:23.025399
8639,How do computer science majors differ?,<p>I'm a High school student and will be looking at colleges soon. I am looking at colleges and they all have many majors about computer science that seem to be the same. </p>,proffesional technology professor advanced,5477,2015-03-19 19:20:36.645522
84,What programs or course  are best to go to for computer technology?,<p>I want to be a computer technician and i want to know which programs are the best so i can get the best of the best help to start my career </p>,college-majors computer technology,258,2012-01-06 13:26:32.149899
15398,Where can I find a job at my age?,<p>I am 16 up for a lot and wanna make some money to give back to my family </p>,employee job-search,9867,2016-01-21 10:00:46.437311
8752,Is college necessary to be a graphic designer?,"<p>I am a junior in highschool and I am interested in knowing if college is a must. Can you take classes on your own and still get hired to do small projects? And if so, what is required to be a graphic designer </p>",3d-graphics python photosh c++ visual-c++ graphic-design,5554,2015-03-23 18:22:24.454227
12174,What degree does a vet need to have and how many years of college?,<p>I am in the 6th grade and would like to become a vet when I am older. but before I need to know how many years of college I need in order to do that. Also I was wondering what degree I need. Thank you!</p>,vet degree pet-care pet veterinarian college,7864,2015-10-21 17:53:41
10369,Advocate ( Lawyer ),"<p>I am studying in 10 th class and i want to become an advocate but i don't know which subject i have to choose in 11 th class?  And after that what i have to do? 
I am studying in carmel convent senior secondary school , Neemuch (M.P.).</p>",lawyers advocate police-officer lawyer police law,6669,2015-05-29 00:03:48.836103
1568,How much money does a civil engineer make right out of college?,"<p>I am a senior in high school and I am looking into studying civil engineering. I want to make sure that once I graduate and am able to find a job, that I will be able to have enough money to live a comfortable life. </p>",money civil-engineering college-graduate,902,2013-03-27 11:49:54.517983
541,Transitioning into a marketing field?,"<p>Hi,
   I am soon to be graduating with my BA in marketing, I have been an office receptionist/ assistant for a while now but I like to change since my field is now marketing. I don't find my current situation fulfilling anymore. I have tried applying to marketing firms as a receptionist to get a good start but I never hear back from them. I actually found a perfect marketing job I'm really interested in, which is a video game corporation but I'm somewhat hesitant because my lack of experience, how can I go about my situation? Thanks so very much!</p>",career-paths marketing,486,2012-02-21 21:23:52.415433
9768,How many years does it take to become an orthodontist?,<p>I really want to be an orthodontics but i am not so willing if it takes such a long while in school in order to become one officially.</p>,dental orthodontics dentistry,6189,2015-05-08 14:45:07.717579
3259,What can I do to stand out in today's working world?,"<p>With competition only getting stronger by the year, I'm afraid that by the time I graduate college, it will be extremely hard to get a job in the field I want to go into- Economics and Finance. What other academic opportunities (other than and undergrad degree) can I pursue to make myself stand out to potential employers? [If you have advice specific to my field, that would be very appreciated]</p>",college-graduate career career-development college-major employers career-education,2387,2014-03-12 18:52:38.087567
8846,How can I keep a work/ life balance within the Counselling/Community services industry?,"<p>I am due to start a dual diploma in Counselling and Community services, I am a very people orientated person, however at times I find it hard to ""switch off"".
Due to varying/changing hours in the industry/PCP/Best care etc I'm just interested in the typicals of when/where/how etc people in the industry take time for themselves/wind down.
Thanks in advance. :)</p>",community-service youth-mentoring disability counselling,5637,2015-03-24 23:23:51.871608
143,What are good four year colleges to go to for finance?,<p>What Universities Are Good if I'm interested in finance?</p>,finance college-selection,260,2012-01-10 08:40:58.083941
11268,Without much schooling ?,"<p>What are some medical jobs that pay 6 figures, and without that much schooling ? 10 years max?</p>",medical six figures,7297,2015-08-22 19:40:55
1412,How to Prepare for Law School?,<p>I am often asked how someone can become a lawyer. Let us discuss the best approaches!</p>,law lawyer career,729,2012-10-25 05:19:06.949532
6523,I'm a computer programming student with a heart for web design. Is there a big demand for web designers out in the real world?,<p>I love creating something with the lines of code. It's almost like creating a digital poem that's going to mean something one day. I love web design. It's what I want to do with my life.</p>,web-design... computer-programming,3748,2014-08-12 13:49:38.988267
11363,What are the best collages if i want to be a game warden.,<p>Im a senior in high school </p>,game warden hunting,7474,2015-09-03 14:05:09
153,What are the average number of years needed to go to college to prepare for a career in business marketing?,<p>I Did To Know</p>,business,260,2012-01-11 08:41:03.803280
8908,What is the workload and some challenges one faces when studying aeronautical engineering?,"<p>I am currently a senior in high school. As of now, I am certain that I want to attend college to major in aeronautical engineering; however, I do have some apprehensions. I often hear that over half the people who enter the engineering field drop out. I do not wish to fall into this group, so I have come for guidance. I hope to get an idea of what to expect when studying aeronautical engineering.  </p>",aeronautics engineer,5603,2015-03-26 22:02:06.680712
4176,What are after school activities that I should do if I plan to study computer engineering in college,<p>I've always wondered if Computer Engineering is for me.</p>,computer-engineering,2926,2014-04-07 08:59:08.481832
10677,What are  some the similarities between Psychology and Sociology?,<p>I am a freshman at City Charter High School and I have always been interested in Psychology. I was doing research during one of my career classes and I read about Sociology and was very interested after learning more about it. I am very interested in both of these fields and want to know more about both and how they can relate to one another. </p>,sociology psychology,6542,2015-06-18 13:40:29.913896
4273,How would a day in the life of a research technician look like?,<p>I love to to research random topics I am interested in. A major portion of my free time consists of using google. Is a major in the field of research vastly different from what imagine it to be?</p>,research,2934,2014-04-08 08:26:19.799787
5086,Would getting an internship in a career you don't entirely plan on following beneficial in the long run?,"<p>Work experience is very important in getting a job, but when you have very little work experience in the field you want to pursue, would internships in other fields be helpful in different fields? How separate should the difference be between the fields to be considered applicable</p>",internship long-run future multiple-interests,3137,2014-04-29 13:51:32.486065
8805,"How do concept artist get into larger careers with large companies, like Blizzard Entertainment or Disney?","<p>I am a high school student, entering into college without a specific major in mind. I want to study psychology, neuroscience, and computer science. However, my greatest passion is sketching. I have started to build my portfolio with paintings and computer software.  </p>",concept-art art conceptual-design computerscience conceptual-art computer-art,5591,2015-03-24 15:28:26.797053
4336,What career choice  do you think will be best for me ?,"<p>Hey I am a junior in 11th grade and I am having trouble figuring a carer path for myself. I am not really good in math and science so I know it will be hard to major in something that includes a lot of math and science. I love to talk about problems in society , voice my opinions and feelings to people, and give advice . I also love to debate on interesting topics that has to do with society. I do better in history and english . What do you guys suggest ?</p>",careerpath society english debate careers history,2946,2014-04-08 09:23:42.449408
14629,What are the different careers in the medical field?,"<p>I'm kind of interested in the medical field, but I am unsure about the different types of jobs in medical field. I want to know the different types of nurses/doctors or other medical related positions and what each position does.</p>",medical doctor nurse nursing,7417,2015-12-10 17:09:53.639804
857,Are there any other job options in the education feild besides becoming a teacher?,"<p>Hi Im a Junior, im intrested in majoring in education.What I wanted to know is are there any other job options in the education feild besides becoming a teacher?If there  are, what other degrees do I have to persue in college to get that job? </p>",education,604,2012-05-23 15:17:45.940396
9162,What restaurant should I go to to become a chef?,<p>I'm a sixth grade student and my name is payton i love cooking and culinary arts i love to watch chef's to cook all different kinds of food </p>,culinary-arts coooking places chefs schooling restaurants,5788,2015-04-08 15:02:11.663442
15231,How do I become a game warden?,<p>I love the out doors and love to motobike</p>,wildlife-biology outdoor-recreation game-warden outdoors,8217,2016-01-14 16:52:09.876078
10591,What are some unique skills and experience that are rare and critical in the medical industry? p.s preferably anesthesiologist,"<p>The reason for this question is because i want to have get an understanding of how the work environment might be, and also learn which skills would come in handy throughout medical school.</p>",assistant anesthesiologist student physicians,6522,2015-06-08 14:27:18.768048
7497,Do you need to go to college in order to become a pediatrician,<p>So I can now more about this career</p>,professional,4716,2014-12-09 18:54:53.872200
7780,What are some good colleges in Massachusetts to attend for becoming a Pharmacist?,"<p>I am a Junior in high school and I have wanted to be a Pharmacist for a while now,  and I am wondering if there are any good colleges for majoring in Pharmacy in Massachusetts because I would like to stay close to home.  Any feedback would be great!</p>",medicine pharmacists pharmacist pharmacy,4510,2015-01-07 21:38:22.917453
8220,What the community bathrooms like in college,<p>I am Germaphobic my bathrooms and everything can only be shared with close friends and family not strangers.</p>,bathroom college,5128,2015-02-25 13:42:34.054181
671,What are the steps to become a sucessful music producer?,"<p>I am a senior in highschool and I am looking forward to going to Berklee College of Music to major in Music Engineer/Production. I am very interested in music production, which has led to me to desire a career as a music producer. I create intsrumentals on my laptop fromo a music program called Record. What are the steps I will have to take in order to become a sucessful music producer in the future</p>",music,528,2012-03-29 09:57:13.804328
7868,What major should I study if I want to work in non-profit organizations?,<p>I mostly want to work with the homeless population . </p>,non-profit worker,4321,2015-01-20 18:27:57.812614
7342,What are the pros and cons of being an elementary school teacher?,"<p>The reason why i ask this is because i want to be an elementary schools teacher and the pros i know is just working with kids and enjoying your job ,but what are some cons i can prepare myself for?</p>",job teaching school teacher elementary-education,4588,2014-12-02 14:23:34.621966
4306,What are some of the positives and negative of being a pediatric oncology nurse?,<p>I would like to be an oncology nurse and was wondering what the pro's and con's are?</p>,oncology cons pros nursing,3021,2014-04-08 08:50:29.612130
6905,What kind of jobs are there working for a food magazine?,"<p>I would like to work for a food magazine, but I don't know what kind of jobs there are. Ideally, I'd like to work as a food photographer (if there even is such a thing) or layout editor, but I'd like to know what other jobs there are. </p>",food page-layout magazine photograpy editor food-styling,1422,2014-10-09 09:43:56.349275
12033,What are some good collages i should attend for engineering,<p>Cause I want to choose a college that I feel like im doing the right thing and the in the right place</p>,thing engineering right college place,7825,2015-10-20 11:32:36.969942
8782,Is it possible for me to make it in the music industry with just a great ear and without a great skill in sight reading?,"<p>I'm a great musician. I can play piano, drums and bass guitar really well. But I play only by ear. I can't sight read very well so I substitute that hindrance with my good ear. I've played with many bands without a problem, but I'm not sure if that will change if I make that my career. I know how to read the music, but reading the music on the spot without time to figure it out is my problem.</p>",and-playing-bass-guitar. musician music playing-piano playing-drums,5563,2015-03-24 10:52:33.046419
10701,Is there a degree needed to be a gymnast?,"<p>Hi, I'm Laniya and i was interested in starting Gymnastics again. I was wondering if I started to like it more than i expected, if i needed any education to be a gymnast. </p>",flexibility gymnastics,6544,2015-06-19 13:32:52.528808
10171,How often do people switch careers?,"<p>I'm not totally sure what i want to do after school - I'm worried I'll make the wrong decision.
What kinds of degrees will leave me with the most options for making a living?</p>",career difficult-decisions,6442,2015-05-19 13:21:30.310417
8985,What type of jobs are available for Game Wardens?,<p>I want to learn about the types of duty's that I will be doing as a Game Warden. </p>,police hunting nature trap-shooting ranger sports-law,5704,2015-04-01 13:52:35.054534
2977,What sort of job should I think about getting if I want a game in the video game industry,<p>I am a 11th grader and I want to work in the video game industry in the future so I want to know what jobs there are so I know what courses to take in college.</p>,video-game,2397,2014-03-05 16:47:39.130464
10087,What careers are associated with Criminal Justice and working with juvenile delinquents?,<p>I am a 10th grade student at Boston Collegiate Chater School. I want to major in Criminal Justice some possible careers Im thinking about are probabtion officier </p>,justice criminal,5770,2015-05-18 10:29:32.929426
13004,What is good thing to practice before becoming a counselor?,"<p>I am thinking about becoming a counselor one day. As I am too young now, how can I practice and perfect learning the job. What are good tips that I can learn so that one day I can be very good. </p>",counselor,7788,2015-10-29 16:31:13.746417
12036,What is the salary of a engineer,<p>Cause I need a good pay if I want to be an engineer</p>,pay good engineer,7825,2015-10-20 11:34:48.463593
9321,Which college would be best to become a dental hygienist that are in my area?,<p>I am currently a student at Madison Park High and I am in a dental assisting program. I plan on going to college to go further in dentistry. I would like to go to school here in Massachusetts where I can commute back and forth. Thank you!</p>,dentists dental-hygienist,5894,2015-04-17 11:34:53.868868
3225,How do I start a business?,<p>I want to start a business and I don't know where to start. </p>,career teacher business dancing,2395,2014-03-12 16:21:26.493468
12112,Soccer player,<p>Hi my name is Ezaan and I am in 6th grade. And I want to know how much money does an average soccer player make?</p>,soccer finance sports,7847,2015-10-21 12:58:13.728477
1560,Finding a job,<p>How difficult is it to find a job as a psyciatrist </p>,psychiatry,901,2013-03-27 11:37:06.585153
8710,What is the best school to learn how to be a barber.,<p>The reason I am asking is because I like to fix hair and I am very interested with hair designs and I like making people look fresh!!</p>,hairdressers hair-stylist experienced barber hair-care,5503,2015-03-23 15:56:09.062170
4607,What skills do you need to work in the medical field?,<p>I am a high school junior looking to work in the medical field.</p>,career medical,3022,2014-04-09 09:40:24.818182
12856,Can you be a docter and a chef at the same time?,<p>I like to cook But I want to be a docter.</p>,chef tacer docter,7891,2015-10-28 14:34:33.555974
15157,What type of careers are available for Computer Science majors?,<p>I'm really interested in CS.</p>,professors professionals anyone,5472,2016-01-10 19:49:56.787814
4265,How does a day look like for a dentist?,"<p>I am a junior in high school and I want to be a dentist, so I want to know how my day will look like if I really do become a dentist. </p>",day-in-the-life dentist dentistry family-dentistry pediatric-dentistry dental-hygienist,2931,2014-04-08 08:12:29.502618
10975,Hi iam international student and i want to know that  there is any replacement for ap exam,<p>Iam in 12th grade and i didn't appeared for ap test and idont have time to wait for next year  </p>,admissions counselor,7088,2015-07-03 05:04:07.471031
4752,As a junior is it bad that I don't know exactly what I want to be?,<p>IS it bad to be so confused while your about to be in college?</p>,career-education,2953,2014-04-14 09:18:43.732706
13142,How can i get a good college,<p>I want to go into a good school to be a nurse I love helping kids and adults   </p>,caring helping loving nice,7848,2015-11-02 12:56:28.309913
12380,What does a game warden do on a daily basis?,"<p>I am in sixth grade an I would like to be a game warden when I grow up, any help would be appreciated. Thank you!</p>",wildlife marine-biology wildlife-biology biology gamewarden zoology,7862,2015-10-23 13:58:54.588426
8755,What do i need to do to be a DEA Agent in Los Angeles.,<p>I'm interested in this career but I hardly have time to look up information on my own.</p>,criminal,5555,2015-03-23 18:25:34.927272
12475,What do like or dislike about your job as an orthodontist?,<p>Hi my name is lukas i am interested in being an orthodontist when I get older. What do you like or dislike about the job? Thank you!</p>,orthodontics,7879,2015-10-25 11:12:12
9665,What majors do you need to study in college in order to become a doctor or go to medical school ?,<p>I am a junior in High School and im not sure what classes i should take in college </p>,doctor medical bio-medical medical-field medicare medicine,6131,2015-05-05 16:46:24.265790
3635,What is the difference between having your bachelors and masters in nursing?,"<p>I am a 17 year old senior. I know that I want to be a nurse, but I do not know what the difference between getting my bachelors and having a masters degree. I know that having a master's degree I get payed more, but I want to know exactly what is different in the work load. </p>",majors masters nursing degree bachelor,2703,2014-03-25 12:12:24.717792
4963,What job applications are better to use,<p>I'm just currious if applying online is better than a hand written application </p>,application job online,2502,2014-04-27 20:20:15.867985
6990,Money problems,<p>What should one do if we do not have the funds to go to a good college? Would a loan be worth the debt?</p>,staying-out-of-debt. money student-loans college debt economy,4239,2014-10-21 13:20:40.839978
11732,"My question is that i an doing ny engineering in the field of civil and i like it as it is intresting , now i want to know weather what i am being taught from my course boos is valuable and supportve at the time i get into the fiel or i should start  work",<p>I am asking this question to clear queries in my mind regarding my field of intrest and to set up my aim and make my routie hard.</p>,9 8,7675,2015-10-09 00:19:18.801744
10138,What are some key steps recommended that I should engage in that will impact being a successful chemical engineer ?,"<p>I'm Destani, A junior attending Madison Park High School. My junior year I've been in a chemistry course and I have became super interested in a variety of aspects in chemistry. I am also interested in engineering, So I put the two together and Im interested in knowing more about this career !</p>",engineering college-courses chemical-engineering,6493,2015-05-19 09:48:05.384284
1704,Is there any career options within the military regarding chemistry?,<p>I am very interested in the military and chemistry and I was wondering if both subjects could be integrated together as my career. Right now I am considering majoring in chemistry in college but I still interested in being involved with the military.</p>,military chemistry,820,2013-04-10 18:28:37.082081
691,What is the employment rate for students who major in Mechanical Enigneering?,<p>Im a high school senior and I want to know before taking up this major in college.</p>,engineering,536,2012-03-29 11:19:41.653886
849,What are the pros and cons of becoming a psychiatrist?,<p>I am a junior at democracy prep charter school and i am interested in majoring in psycology.</p>,psychology,617,2012-05-23 15:13:29.038792
9945,How can I manage my money well in college?,<p>College just seems so time consuming I feel like I need guidance.</p>,students,6399,2015-05-14 13:06:18.942033
15258,I have plan to start carrier in networking field . i have done BE in computer science  2015 batch . i have question for fresher where i should start my carrier at entry level that will add in my experience in order to get job in MnC networking field,<p>Since first its only  field where i can have fun while doing job !! i dont know which filed is good for me (being a fresher ) to make carrier in networkig field i have done ccna certificattion </p>,testing networking sql,9593,2016-01-15 03:44:33.910530
15807,Are there a lot of job opportunities for occupational therapists?,"<p>I am interested in occupational therapy, however I would like to know if it is stable with many job opportunities. Is it difficult to find a job as a occupational therapist? Is it common?</p>",medical rehabilitation occupational-therapy psychology,7417,2016-02-09 13:39:20.854129
12045,What is Marketing?,<p>Tell me what marketing is and what do you have to do to become a Marketing woman.</p>,n,7826,2015-10-20 11:42:31.264488
10238,College prep,"<p>Hi. When applying to college what courses should I take in order to become a clinical psychologist? From your experience, how hard were the classes you took?</p>",clinical-psychology physcology clinical,6547,2015-05-22 11:56:53.983983
14840,Will colleges accept me with such a bad GPA?,"<p>I have a very bad GPA (2.16 at the end of sophomore year) and I'm a junior in high school how can I raise my GPA in the easiest way possible? and do colleges even accept people with such a low GPA as mine?Do I even have a chance? I wanna have a 3.0 at least at the end of senior year, does anyone know what grades that ill have to get to get it there or if I even can. Since I am a minority I was told that colleges have to accept a number of minorities no matter what even if my GPA is not the best, is it true? I need lots of help </p>",college,6381,2015-12-18 16:20:05.001563
11239,Is the cost of schooling worth it for becoming a pharmacist?,"<p>I'm considering becoming a pharmacist, and I would like to know about the full cost of college compared to the income, and if it's realistic that a pharmacist can pay off all of their debt. How much does undergrad/pharmacy school generally cost, assuming no scholarships? Can the average employed pharmacist earn back that expenditure within a reasonable amount of time? </p>",pharmacists financial-planning college financial-aid pharmacy,7103,2015-08-16 11:46:42.364101
